frame,x,y,r,xn,yn
217,643.5,634.5,22.9,302.9832655387827,714.4366357139877
218,643.5,645.5,25.2,302.6957178821629,730.5651405950085
219,642.5,652.5,25.2,301.44564682039316,740.8274279552697
220,639.5,662.5,22.9,297.98955808000414,755.4905489945735
221,638.5,668.5,23.9,296.7729030740126,764.2459374178715
222,635.5,676.5,23.9,293.38179298913246,775.9371205596399
223,633.5,680.5,24.1,291.15811003190527,781.7842800889567
224,629.5,685.5,22.1,286.789969558256,789.1202308078462
225,631.5,687.5,24.9,288.86562299928096,791.9613648569597
226,631.5,689.5,25.0,288.81788952899774,794.8508300562171
227,631.5,692.5,25.1,288.7463424494064,799.181811972275
228,632.5,691.5,22.5,289.8310170356109,797.7137772196485
229,637.5,703.5,22.3,294.8389220792223,814.8829721355625
230,641.5,711.5,23.9,298.8737053662375,826.2813734216996
231,631.5,706.5,22.9,288.4132966361442,819.3421791416737
232,639.5,733.5,22.7,296.2101401950249,857.8016354902286
233,624.5,717.5,24.1,280.75676768139516,835.2907991175027
234,622.5,724.5,25.2,278.48851224762456,845.352395728751
235,614.5,739.5,23.9,269.7349695476199,866.925495250591
236,617.5,733.5,25.2,273.0206453539952,858.3133096781977
237,615.5,734.5,24.6,270.8926209351032,859.7846274612459
238,615.5,739.5,25.0,270.7874484901248,866.9024687821817
239,616.5,742.5,23.8,271.7764803006705,871.145223433509
240,612.5,749.5,22.9,267.42493452209254,881.174737193718
241,613.5,756.5,23.0,268.3313830413498,891.0697234207424
242,614.5,757.5,23.6,269.36042021409105,892.4624865950334
243,612.5,765.5,27.4,267.09783152448006,903.8131420417678
244,626.5,784.5,25.1,281.3517686225947,930.2585906509623
245,613.5,785.5,25.1,267.73638405362504,931.9407108851783
246,611.5,793.5,23.9,265.48507793412733,943.1967067856419
247,607.5,798.5,27.4,261.21228677964393,950.2753726128876
248,605.5,808.5,22.3,258.93530481076243,964.2744542353477
249,617.5,814.5,22.2,271.3102776636007,972.3848198479842
250,607.5,813.5,20.8,260.92138483590105,971.1970182486766
251,615.5,813.5,20.4,269.2488157759989,971.0337696433663
252,605.5,835.5,21.0,258.42230633138195,1001.7564970764449
253,600.5,837.5,22.5,253.2000119133226,1004.6191191219775
254,597.5,844.5,22.8,249.96607991656074,1014.3399390278048
255,600.5,847.5,24.9,253.01867821005672,1018.4171558892539
256,599.5,850.5,25.1,251.9295887858698,1022.5678975842583
257,597.5,857.5,21.7,249.73678821638993,1032.231918056413
258,596.5,861.5,22.9,248.63340972710034,1037.7423577449042
259,601.5,860.5,22.9,253.81706608735988,1036.2761218663732
260,602.5,871.5,21.6,254.6490428232854,1051.332957367949
261,604.5,875.5,23.0,256.6383815237946,1056.7665535884946
262,606.5,880.5,25.1,258.60677055102303,1063.5594794785914
263,629.5,923.5,27.4,281.37151619390335,1121.5045166421557
264,605.5,898.5,23.9,257.2408132387936,1088.0818498656886
265,602.5,907.5,25.2,253.99434434455782,1100.33811324627
